ISWC;workId;title;creators;source;date
;23992693;"BMI Award Winning Song
                                                                            
                                                                        
                                                                    

                                                            CHAINED TO THE RHYTHM";FURLER SIA KATE I, HUDSON KATHERYN ELIZABETH, MARLEY MINTO SKIP, MAX MARTIN, PAYAMI ALI;BMI;2024.9.11
;24545109;"BMI Award Winning Song
                                                                            
                                                                        
                                                                    

                                                            CRYING IN THE CLUB";CABELLO CAMILA, FRANK DAVID MARTIN, FURLER SIA KATE I, HOIBERG MAGNUS AUGUST, KIPNER STEPHEN ALAN, LEVIN BENJAMIN JOSEPH, PEREZ NATHAN, SHEYNE PAMELA;BMI;2024.9.11
;14922186;"BMI Award Winning Song
                                                                            
                                                                        
                                                                    

                                                            DIAMONDS";ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH;BMI;2024.9.11
;14809151;"BMI Award Winning Song
                                                                            
                                                                        
                                                                    

                                                            LET ME LOVE YOU UNTIL YOU LEARN TO LOVE YOURSELF";DI SCALA MICHAEL PASQUALE, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HADFIELD MARK PAUL, HERMANSEN TOR ERIK, SMITH SHAFFER;BMI;2024.9.11
;28084291;"BMI Award Winning Song
                                                                            
                                                                        
                                                                    

                                                            THUNDERCLOUDS";ALLEN HENRY AGINCOURT, FURLER SIA KATE I, MCKENZIE TIMOTHY LEE, MECKSEPER PHILIP, PENTZ THOMAS WESLEY;BMI;2024.9.11
;13156852;"BMI Award Winning Song
                                                                            
                                                                        
                                                                    

                                                            TITANIUM";FURLER SIA KATE I, GUETTA DAVID, TUINFORT GIORGIO H, WALL VAN DE NICK L;BMI;2024.9.11
;20493748;"BMI Award Winning Song
                                                                            
                                                                        
                                                                    

                                                            UNSTOPPABLE";BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;BMI;2024.9.11
;13687274;"BMI Award Winning Song
                                                                            
                                                                        
                                                                    

                                                            WILD ONES";COOPER MARCUS, DILLARD TRAMAR LACEL, FURLER SIA KATE I, HEDFORS AXEL CHRISTOFER, JUDRIN RAPHAEL DAVID, LUTTRELL JACOB ELISHA, MADDAHI BEN, MELKI PIERRE-ANTOINE JOSEPH MICHEL;BMI;2024.9.11
;13750839;85 BLOCKS;AHLUND JOAKIM FRANS, FURLER SIA KATE I, STONE OLIVIA DIANE;BMI;2024.9.11
;4994070;ABOUT;FLAVELL JESSE HEATH, FURLER SIA KATE I;BMI;2024.9.11
;8255283;ACADEMIA;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;BMI;2024.9.11
;20473693;ALIVE;ADKINS ADELE LAURIE BLUE, FURLER SIA KATE I, JESSO TOBIAS MACDONALD;BMI;2024.9.11
;29167614;ALIVE;FURLER SIA KATE I, GELLER JESSE ST JOHN, MICHAELS GRANT PHILLIP;BMI;2024.9.11
;11550518;ALL I NEED LULLABY;AGUILERA CHRISTINA, DIXON SAMUEL RONALD, FURLER SIA KATE I;BMI;2024.9.11
;10838012;ALL IN YOUR HEAD;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;BMI;2024.9.11
;7548516;ALL MY LOVE I LL SEND;FURLER SIA KATE I, KURSTIN GREG;BMI;2024.9.11
;5328413;ALL THE DJS LOVE YOU IN NEW YORK;ASLAN, FURLER SIA KATE I, HOWARD FELIX STARBUCK;BMI;2024.9.11
;29842445;ANGEL IN YOUR EYES;FURLER SIA KATE I, MCKENZIE TIMOTHY LEE, PENTZ THOMAS WESLEY;BMI;2024.9.11
;13767988;ANY DAY NOW;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I, JACKSON CHEYENNE DAVID;BMI;2024.9.11
;4994125;ASREPONOSIM;FLAVELL JESSE HEATH, FURLER SIA KATE I;BMI;2024.9.11
;27365975;AUDIO;ALLEN HENRY, FURLER SIA KATE I, MCKENZIE TIMOTHY LEE, MECKSEPER PHILIP, PENTZ THOMAS WESLEY;BMI;2024.9.11
;11106382;BAD COMPANY;BERKENES MONICA, FURLER SIA KATE I, HUNTINGTON NICK, MC GROARTY MICHAEL T;BMI;2024.9.11
;10838011;BAD RECEIVER;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;BMI;2024.9.11
