ISWC;workId;title;creators;source
T-061.793.589-3;;[International Music] 1+1 - 100003659278;;KOMCA
T-920.968.351-2;;[International Music] A L INFINI - 100002353188;;KOMCA
T-060.312.944-7;;[International Music] ABOUT - 100001124730;;KOMCA
T-060.821.847-8;;[International Music] ACADEMIA - 100000884362;;KOMCA
T-061.413.669-4;;[International Music] ACID RAIN - 100001124818;;KOMCA
T-061.731.006-1;;[International Music] ALIVE - 100002680483;;KOMCA
T-061.197.972-6;;[International Music] ALL IN YOUR HEAD - 100001124731;;KOMCA
T-060.877.440-8;;[International Music] ALL MY LOVE I'LL SEND - 100001124732;;KOMCA
T-900.268.038-8;;[International Music] ALL THE DJS LOVE YOU IN NEW YORK - 100001124733;;KOMCA
;;[International Music] ANGEL IN YOUR EYES - 100002526640;;KOMCA
T-060.312.947-0;;[International Music] ASREPONOSIM - 100001124734;;KOMCA
T-929.073.623-1;;[International Music] BABY - 100002805856;;KOMCA
T-061.197.971-5;;[International Music] BAD RECEIVER - 100001124735;;KOMCA
T-061.626.538-3;;[International Music] BALLADINO - 100001836781;;KOMCA
;;[International Music] BALLADINO - 100001273308;;KOMCA
T-061.526.556-9;;[International Music] BANG MY HEAD - 100001078041;;KOMCA
T-061.419.701-1;;[International Music] BATTLE CRY - 100001124736;;KOMCA
T-061.407.279-5;;[International Music] BATTLEFIELD - 100000806598;;KOMCA
T-904.930.291-2;;[International Music] BE GOOD TO ME - 100000320336;;KOMCA
T-060.766.770-8;;[International Music] BEAUTIFUL CALM DRIVING - 100001124737;;KOMCA
T-061.524.551-6;;[International Music] BEAUTIFUL PAIN - 100001124738;;KOMCA
T-060.312.934-5;;[International Music] BEAUTIFUL REALITY - 100001124739;;KOMCA
T-061.476.122-6;;[International Music] BEFORE I SLEEP - 100001124740;;KOMCA
T-060.607.016-9;;[International Music] BIDDING WAR - 100001124741;;KOMCA
T-061.155.563-5;;[International Music] BIG GIRL/LITTLE GIRL - 100001124742;;KOMCA
T-905.453.679-7;;[International Music] BIGGER BETTER DEAL - 100001124743;;KOMCA
