ISWC;workId;title;creators;source;date
T-061.793.589-3;100003659278;1+1;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;KOMCA;2023.10.18
T-920.968.351-2;100002353188;A L INFINI;CHIRESCU YOAN, FURLER SIA, JUDRIN RAPHAEL, LISBONNE SILVIO, MELKI PIERRE ANTOINE, ROMITI MANON;KOMCA;2023.10.18
T-060.312.944-7;100001124730;ABOUT;FLAVELL JESSE HEATH, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.821.847-8;100000884362;ACADEMIA;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;KOMCA;2023.10.18
T-061.413.669-4;100001124818;ACID RAIN;BAUMER PAUL, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, HOOGSTRATEN MAARTEN;KOMCA;2023.10.18
T-061.731.006-1;100002680483;ALIVE;FURLER SIA, GELLER JESSE, MICHAELS GRANT;KOMCA;2023.10.18
T-061.197.972-6;100001124731;ALL IN YOUR HEAD;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.877.440-8;100001124732;ALL MY LOVE I'LL SEND;FURLER SIA KATE I, KURSTIN GREG;KOMCA;2023.10.18
T-900.268.038-8;100001124733;ALL THE DJS LOVE YOU IN NEW YORK;ASLAN RON SCHLOMO, FURLER SIA KATE I, HOWARD FELIX STARBUCK;KOMCA;2023.10.18
;100002526640;ANGEL IN YOUR EYES;FURLER SIA KATE I, MCKENZIE TIMOTHY LEE, PENTZ THOMAS WESLEY;KOMCA;2023.10.18
T-060.312.947-0;100001124734;ASREPONOSIM;FLAVELL JESSE HEATH, FURLER SIA KATE I;KOMCA;2023.10.18
T-929.073.623-1;100002805856;BABY;FURLER SIA KATE I, KURSTIN GREG, MCDONALD MAUREEN ANNE;KOMCA;2023.10.18
T-061.197.971-5;100001124735;BAD RECEIVER;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;KOMCA;2023.10.18
T-061.626.538-3;100001836781;BALLADINO;FURLER SIA KATE ISOBELLE, KRAUS OLIVER, LEAK JASPER MAXIMILLIAN;KOMCA;2023.10.18
;100001273308;BALLADINO;FURLER SIA KATE I, KRAUS OLIVER, LEAK JASPER, MEIRELES CID EDUARDO;KOMCA;2023.10.18
