ISWC;workId;title;creators;source;date
;12.329.561;HOLD ON SUB FOCUS REMIX;SIA KATE I FURLER;SGAE;2024.9.28
;12.329.575;HOLD ON 12TH PLANET REMIX;SIA KATE I FURLER;SGAE;2024.9.28
;12.329.576;HOLD ON TOM STEPHAN REMIX;SIA KATE I FURLER;SGAE;2024.9.28
;28.050.137;CAN YOU GROOVE;SIA KATE I FURLER;SGAE;2024.9.28
;28.050.137;CAN YOU GROOVE?!;SIA KATE I FURLER;SGAE;2024.9.28
;6.397.239;COULDN T MAKE;SIA KATE I FURLER;SGAE;2024.9.28
;12.458.933;THE CONVERSATION CUES;SIA KATE I FURLER;SGAE;2024.9.28
;10.858.585;FOLLOW ME;SIA KATE I FURLER;SGAE;2024.9.28
;10.858.685;TELL ME;SIA KATE I FURLER;SGAE;2024.9.28
;13.673.920;FIRE MEETS GASOLINE;SIA KATE I FURLER;SGAE;2024.9.28
;20.352.074;CRUSH ME;SIA KATE I FURLER;SGAE;2024.9.28
;20.286.378;HEY BOY REMIX;SIA KATE I FURLER;SGAE;2024.9.28
;20.286.378;HEY BOY BONUS TRACK;SIA KATE I FURLER;SGAE;2024.9.28
;20.286.378;HEY BOY REMIX FEAT BURNA BOY;SIA KATE I FURLER;SGAE;2024.9.28
;14.771.862;HOME IS THE ENEMY;SIA KATE I FURLER;SGAE;2024.9.28
;6.909.183;COLLAPSING;SIA KATE I FURLER;SGAE;2024.9.28
;17.287.773;NIE BOJ SIE CHCIEC;SIA KATE I FURLER;SGAE;2024.9.28
;17.121.192;ZOOTOPIA;SIA KATE I FURLER;SGAE;2024.9.28
;17.121.778;TRY EVERYTHING UKRAINIAN CYRILLIC;SIA KATE I FURLER;SGAE;2024.9.28
;9.866.596;BAD COMPANY;SIA KATE I FURLER;SGAE;2024.9.28
;14.768.681;DEJA VU;SIA KATE I FURLER;SGAE;2024.9.28
;18.169.338;EVERYDAY IS HALLOWEEN;SIA KATE I FURLER;SGAE;2024.9.28
;18.613.286;CHASING PAPER;SIA KATE I FURLER;SGAE;2024.9.28
;20.310.189;THE PAGEANT OF THE BIZARRE;SIA KATE I FURLER;SGAE;2024.9.28
;22.430.705;DESTINY;SIA KATE I FURLER;SGAE;2024.9.28
;22.430.705;PHOTEK REMIX;SIA KATE I FURLER;SGAE;2024.9.28
;16.333.730;OASIS FEAT SIA;SIA KATE I FURLER;SGAE;2024.9.28
;14.270.255;STRAIGHT JACKET;SIA KATE I FURLER;SGAE;2024.9.28
;6.023.618;LIVING DOLL;SIA KATE I FURLER;SGAE;2024.9.28
;6.720.935;UTOPIA V A;SIA KATE I FURLER;SGAE;2024.9.28
;9.093.716;INTERLUDES;SIA KATE I FURLER;SGAE;2024.9.28
;6.832.641;CRITICISE;SIA KATE I FURLER;SGAE;2024.9.28
;6.832.841;SET YOU ON A CLOUD;SIA KATE I FURLER;SGAE;2024.9.28
;6.836.867;BETTER;SIA KATE I FURLER;SGAE;2024.9.28
;6.837.201;SLIP INTO YOU;SIA KATE I FURLER;SGAE;2024.9.28
;12.317.380;JACKET;SIA KATE I FURLER;SGAE;2024.9.28
;14.051.617;GOZILLIONAIRE;SIA KATE I FURLER;SGAE;2024.9.28
;15.210.764;TRY EVERYTHING;SIA KATE I FURLER;SGAE;2024.9.28
;14.589.705;YOU RE NEVER FULLY DRESSED WITHOUT A SMILE 2014 FILM VER;SIA KATE I FURLER;SGAE;2024.9.28
;19.205.672;DOLITTLE;SIA KATE I FURLER;SGAE;2024.9.28
;14.063.854;PARTY CANDY;SIA KATE I FURLER;SGAE;2024.9.28
;13.791.650;YOU RE MINE;SIA KATE I FURLER;SGAE;2024.9.28
;13.791.650;YOU RE MINE;SIA KATE I FURLER;SGAE;2024.9.28
;10.685.359;DESTINY PHOTEK REMIX;SIA KATE I FURLER;SGAE;2024.9.28
;13.196.394;STRANGE BIRD;SIA KATE I FURLER;SGAE;2024.9.28
;6.414.461;PLAYGROUND;SIA KATE I FURLER;SGAE;2024.9.28
;11.226.770;PUSH ME;SIA KATE I FURLER;SGAE;2024.9.28
;16.618.549;THE CITY IS YOURS;SIA KATE I FURLER;SGAE;2024.9.28
;13.229.850;RISE UP;SIA KATE I FURLER;SGAE;2024.9.28
;12.262.721;LIFE JACKET;SIA KATE I FURLER;SGAE;2024.9.28
;12.286.011;I KEEP HOLDING ON;SIA KATE I FURLER;SGAE;2024.9.28
;12.286.483;HOLOGRAM;SIA KATE I FURLER;SGAE;2024.9.28
;13.099.999;DON T LOOK AT ME;SIA KATE I FURLER;SGAE;2024.9.28
;16.600.441;VOLCANO;SIA KATE I FURLER;SGAE;2024.9.28
